mask_ratio,num_masked,num_visible,avg_accuracy_inter,std_accuracy_inter,avg_mse_inter,avg_accuracy_intra,std_accuracy_intra,avg_mse_intra,avg_accuracy_random,std_accuracy_random,avg_mse_random
0.7,43,18,0.8135782726109028,0.04164527601242735,0.1864217273890972,0.822769646346569,0.07108107438369224,0.17723035365343093,0.8464717735350132,0.0430856381737828,0.1535282264649868
0.71,43,18,0.8098918351531029,0.03655378838512585,0.19010816484689713,0.8239750517904758,0.069223534998915,0.17602494820952416,0.8456042416393756,0.040693025226907736,0.1543957583606243
0.72,44,17,0.7861241921782494,0.05801426245679517,0.21387580782175064,0.8258115774393082,0.05343042645245322,0.17418842256069184,0.8361700324714184,0.05702411800991975,0.16382996752858162
0.73,45,16,0.7915271827578545,0.05339366065317436,0.20847281724214553,0.8172541944682599,0.058513618529722276,0.1827458055317402,0.8235218025743961,0.06670472647889268,0.17647819742560386
0.74,45,16,0.7894077911973,0.05549155040531419,0.21059220880270005,0.8161673721671104,0.055802739101517826,0.18383262783288956,0.8226293966174125,0.06885037114334999,0.17737060338258742
0.75,46,15,0.7728744624555111,0.07445190750890436,0.22712553754448891,0.7920934763550759,0.06921665695499678,0.20790652364492415,0.8203370325267315,0.059893615996662625,0.17966296747326851
0.76,46,15,0.7736070013046265,0.0700687908991129,0.22639299869537355,0.7904974672198296,0.07263375595242012,0.20950253278017045,0.8207509191334248,0.06225948438408943,0.17924908086657523
0.77,47,14,0.7542331454157829,0.06290755055808851,0.24576685458421707,0.774304246455431,0.09616129585171715,0.22569575354456903,0.7985416872799397,0.10041862730020208,0.20145831272006035
0.78,48,13,0.7387893751263619,0.06700616150737493,0.26121062487363816,0.7433375670015812,0.11457041726263412,0.2566624329984188,0.7839490747451783,0.10190884196567948,0.21605092525482178
0.79,48,13,0.7298736846446991,0.06584432061203235,0.2701263153553009,0.7491374990344047,0.11167798668772039,0.25086250096559526,0.7845367673039436,0.09344393539850657,0.21546323269605636
0.8,49,12,0.7230462652444839,0.07584240594901807,0.27695373475551605,0.7312631446123123,0.11720166515801905,0.26873685538768766,0.7449826525151729,0.12302748089961164,0.255017347484827
0.81,49,12,0.7197160097956657,0.07839788316521189,0.28028399020433425,0.7283968403935432,0.1152460697552276,0.27160315960645676,0.7442174211144448,0.1217552241294602,0.2557825788855553
0.82,50,11,0.6854913175106049,0.09428054663918217,0.3145086824893951,0.6764959466457366,0.20197234690811852,0.3235040533542633,0.7094691982865333,0.12641620465810688,0.2905308017134666
0.83,51,10,0.6279731824994087,0.11235926734256155,0.3720268175005913,0.6500254261493683,0.17204898751976083,0.3499745738506317,0.6724332922697067,0.14481074075494585,0.3275667077302933
0.84,51,10,0.6255723586678505,0.11637893723484392,0.3744276413321495,0.652397672533989,0.1777288694561934,0.34760232746601105,0.6695160964131355,0.1482716245387963,0.33048390358686447
0.85,52,9,0.5913390117883682,0.13663867708224128,0.40866098821163177,0.6090178892016411,0.1838655824600394,0.39098211079835893,0.5878281232714653,0.17968692715163748,0.4121718767285347
0.86,52,9,0.5905541926622391,0.13902927920141572,0.4094458073377609,0.6162034186720848,0.177016921249874,0.38379658132791517,0.5854937112331391,0.1768889487407748,0.41450628876686096
0.87,53,8,0.5179231870174408,0.1251076281103492,0.4820768129825592,0.5430643346905708,0.21280941876735035,0.4569356653094292,0.518251678943634,0.2212264059251403,0.48174832105636595
0.88,54,7,0.4719639253616333,0.21314822932930866,0.5280360746383667,0.4716056403517723,0.26036552058580104,0.5283943596482277,0.4739816612005234,0.24487165046007758,0.5260183387994766
0.89,54,7,0.479560307264328,0.18831862106222547,0.520439692735672,0.46944570779800415,0.24558938805003402,0.5305542922019959,0.4780116307735443,0.21172704055465427,0.5219883692264556
0.9,55,6,0.27983719766139986,0.30459352014480945,0.7201628023386002,0.3325132030248642,0.2938262878274281,0.6674867969751358,0.28165131688117984,0.4221767033441362,0.7183486831188202
