cluster,target_sensor,target_sensor_id,cluster_size,num_mates_visible,total_visible,avg_mse_intra,std_mse_intra,avg_acc_intra,std_acc_intra,avg_1mse_intra,avg_mse_inter,std_mse_inter,avg_acc_inter,std_acc_inter,avg_1mse_inter,mse_reduction_pct,acc_delta
Cluster_9,S56,56,5,4,18,0.08057587498798967,0.2115073251889503,0.9548601427674294,0.04131315447811097,0.9194241250120103,0.04470157485455275,0.05516025780103222,0.9638228008896113,0.01141056240022785,0.9552984251454473,-80.25287576026966,-0.008962658122181888
Cluster_10,S28,28,2,1,18,0.021458526886999608,0.010153945318784564,0.9996758101898012,8.043492525676602e-05,0.9785414731130004,0.02287868605926633,0.010429016607906077,0.9996584542712662,6.867617301882994e-05,0.9771213139407336,6.207345590189929,1.7355918535022496e-05
Cluster_10,S45,45,2,1,18,0.003328895507147536,0.001550961082895146,0.9931148426793516,0.001817759204809099,0.9966711044928525,0.0035784436634276064,0.0014016223791268624,0.9927998161688447,0.0016280969446864726,0.9964215563365724,6.97364860299506,0.00031502651050685504
Cluster_11,S9,9,4,3,18,0.03096809427253902,0.0646100391176855,0.9889657900854946,0.007000850065479724,0.969031905727461,0.04754578903317452,0.1415305627983622,0.987784021422267,0.010600709034781103,0.9524542109668255,34.86679840437735,0.0011817686632276114
Cluster_11,S11,11,4,3,18,0.006638785756658763,0.007682965274469771,0.9873465594276786,0.005712969013354268,0.9933612142433412,0.005580392880365253,0.005501967259071566,0.9881689863372594,0.0041261439057874785,0.9944196071196347,-18.96627548133278,-0.0008224269095807868
Cluster_11,S42,42,4,3,18,0.004022606230573728,0.0016684276420381669,0.9922590270242654,0.0019123171617278847,0.9959773937694263,0.004290560539811849,0.001491806262339239,0.9919694075640291,0.001592583645289514,0.9957094394601882,6.245203728038627,0.00028961946023631224
Cluster_11,S53,53,4,3,18,0.13332583680748938,0.13707817638003472,0.9320635767281056,0.035780921199048896,0.8666741631925106,0.10375576838850975,0.061483091959580204,0.942785438671708,0.019063599817655177,0.8962442316114902,-28.499685938673515,-0.010721861943602473
Cluster_12,S14,14,4,3,18,0.00487309480085969,0.0017817624654845941,0.9914304416347295,0.0017110900270876377,0.9951269051991403,0.00422334456583485,0.0015472143458117019,0.9920890228264034,0.0017159784643604832,0.9957766554341652,-15.384728170980264,-0.0006585811916739459
Cluster_12,S17,17,4,3,18,0.002986095028463751,0.0009399917847724891,-50.994659423828125,7.866429762437331,0.9970139049715363,0.0031819828390143813,0.0014581569715898164,-52.43723075866699,11.342493704851593,0.9968180171609856,6.1561535338063305,1.442571334838867
Cluster_12,S39,39,4,3,18,0.0026245126326102765,0.001188539876120756,-47.7593989944458,11.482735780077597,0.9973754873673897,0.003077764876652509,0.0010272867119855182,-52.30905731201172,9.792019846832135,0.9969222351233475,14.726664152089642,4.549658317565914
Cluster_12,S41,41,4,3,18,0.014965129413176327,0.04484249497602362,0.9554922471567988,0.02638374914176875,0.9850348705868237,0.011783352461643517,0.02471920599235833,0.9572598627582193,0.02413249303914566,0.9882166475383565,-27.00230424123272,-0.0017676156014204691
