mask_ratio,num_masked,num_visible,avg_accuracy,std_accuracy,avg_relative_error,masked_sensors
0.05,3,58,0.0,0.0,654570.52125,"[23, 48, 50]"
0.06,3,58,0.0,0.0,660116.27875,"[23, 48, 50]"
0.07,4,57,0.0,0.0,475721.703125,"[23, 47, 48, 50]"
0.08,4,57,0.0,0.0,483249.983125,"[23, 47, 48, 50]"
0.09,5,56,0.0,0.0,318824.053125,"[10, 23, 47, 48, 50]"
0.1,6,55,0.0,0.0,237075.9503125,"[10, 23, 42, 47, 48, 50]"
0.11,6,55,0.0,0.0,241755.8809375,"[10, 23, 42, 47, 48, 50]"
0.12,7,54,0.0,0.0,181507.8215625,"[10, 23, 42, 47, 48, 50, 58]"
0.13,7,54,0.0,0.0,179169.67125,"[10, 23, 42, 47, 48, 50, 58]"
0.14,8,53,0.0,0.0,153227.8209375,"[4, 10, 23, 42, 47, 48, 50, 58]"
0.15,9,52,0.0,0.0,128831.3159375,"[4, 10, 13, 23, 42, 47, 48, 50, 58]"
0.16,9,52,0.0,0.0,131475.61328125,"[4, 10, 13, 23, 42, 47, 48, 50, 58]"
0.17,10,51,0.0,0.0,270493.1803125,"[4, 10, 13, 23, 39, 42, 47, 48, 50, 58]"
