support,itemsets
0.42,"['S45', 'S4']"
0.4342857142857143,"['S46', 'S4']"
0.4585714285714286,"['S47', 'S4']"
0.4057142857142857,"['S4', 'S48']"
0.4542857142857143,"['S4', 'S49']"
0.4057142857142857,"['S50', 'S4']"
0.40714285714285714,"['S4', 'S51']"
0.43142857142857144,"['S52', 'S4']"
0.4157142857142857,"['S53', 'S4']"
0.42714285714285716,"['S54', 'S4']"
0.4185714285714286,"['S4', 'S55']"
0.4257142857142857,"['S56', 'S4']"
0.4442857142857143,"['S57', 'S4']"
0.4642857142857143,"['S58', 'S4']"
0.3628571428571429,"['S59', 'S4']"
0.40285714285714286,"['S5', 'S6']"
0.3942857142857143,"['S5', 'S7']"
0.4085714285714286,"['S5', 'S8']"
0.4114285714285714,"['S5', 'S9']"
0.4,"['S5', 'S10']"
0.41,"['S5', 'S11']"
0.4157142857142857,"['S5', 'S12']"
0.42142857142857143,"['S5', 'S13']"
0.41,"['S5', 'S14']"
0.36714285714285716,"['S5', 'S15']"
0.4114285714285714,"['S17', 'S5']"
0.4,"['S5', 'S18']"
0.39571428571428574,"['S5', 'S21']"
0.4085714285714286,"['S5', 'S22']"
0.39285714285714285,"['S5', 'S23']"
0.39,"['S5', 'S24']"
0.4,"['S5', 'S25']"
0.4057142857142857,"['S5', 'S28']"
0.3942857142857143,"['S5', 'S31']"
0.37,"['S5', 'S32']"
0.38,"['S5', 'S33']"
0.3157142857142857,"['S34', 'S5']"
0.33,"['S5', 'S35']"
0.37714285714285717,"['S5', 'S36']"
0.40714285714285714,"['S5', 'S37']"
0.38,"['S5', 'S38']"
0.41285714285714287,"['S5', 'S39']"
0.39714285714285713,"['S5', 'S40']"
0.39714285714285713,"['S5', 'S41']"
0.4328571428571429,"['S5', 'S42']"
0.4114285714285714,"['S5', 'S43']"
0.4142857142857143,"['S5', 'S44']"
0.40285714285714286,"['S45', 'S5']"
0.4042857142857143,"['S5', 'S46']"
0.41714285714285715,"['S5', 'S47']"
0.38142857142857145,"['S5', 'S48']"
0.42714285714285716,"['S5', 'S49']"
0.4142857142857143,"['S5', 'S50']"
0.3757142857142857,"['S5', 'S51']"
0.39571428571428574,"['S52', 'S5']"
0.37714285714285717,"['S5', 'S53']"
0.40714285714285714,"['S5', 'S54']"
0.41714285714285715,"['S5', 'S55']"
0.39285714285714285,"['S5', 'S56']"
0.4,"['S57', 'S5']"
0.4257142857142857,"['S58', 'S5']"
0.30857142857142855,"['S5', 'S59']"
0.4114285714285714,"['S7', 'S6']"
0.4185714285714286,"['S6', 'S8']"
0.4057142857142857,"['S9', 'S6']"
0.38571428571428573,"['S6', 'S10']"
0.42714285714285716,"['S6', 'S11']"
0.40714285714285714,"['S6', 'S12']"
0.42,"['S13', 'S6']"
0.4185714285714286,"['S14', 'S6']"
0.3742857142857143,"['S15', 'S6']"
0.30714285714285716,"['S6', 'S16']"
0.40714285714285714,"['S17', 'S6']"
0.4185714285714286,"['S6', 'S18']"
0.4157142857142857,"['S6', 'S21']"
0.4142857142857143,"['S22', 'S6']"
0.38571428571428573,"['S23', 'S6']"
0.4085714285714286,"['S24', 'S6']"
0.4114285714285714,"['S25', 'S6']"
0.32142857142857145,"['S6', 'S26']"
0.4157142857142857,"['S28', 'S6']"
0.37285714285714283,"['S31', 'S6']"
0.3985714285714286,"['S6', 'S32']"
0.38285714285714284,"['S6', 'S33']"
0.32,"['S34', 'S6']"
0.3514285714285714,"['S35', 'S6']"
0.39285714285714285,"['S36', 'S6']"
0.4014285714285714,"['S6', 'S37']"
0.38857142857142857,"['S6', 'S38']"
0.43857142857142856,"['S39', 'S6']"
0.39285714285714285,"['S6', 'S40']"
0.3985714285714286,"['S6', 'S41']"
0.43142857142857144,"['S42', 'S6']"
0.4057142857142857,"['S6', 'S43']"
0.4,"['S44', 'S6']"
0.41285714285714287,"['S45', 'S6']"
0.4057142857142857,"['S6', 'S46']"
0.4257142857142857,"['S47', 'S6']"
0.39571428571428574,"['S6', 'S48']"
0.43714285714285717,"['S6', 'S49']"
0.4057142857142857,"['S50', 'S6']"
0.38285714285714284,"['S6', 'S51']"
0.4085714285714286,"['S52', 'S6']"
0.39285714285714285,"['S53', 'S6']"
0.4085714285714286,"['S54', 'S6']"
0.39571428571428574,"['S6', 'S55']"
0.4057142857142857,"['S56', 'S6']"
0.4142857142857143,"['S57', 'S6']"
0.44142857142857145,"['S58', 'S6']"
0.3357142857142857,"['S59', 'S6']"
0.4142857142857143,"['S7', 'S8']"
0.4014285714285714,"['S9', 'S7']"
0.3914285714285714,"['S7', 'S10']"
0.44,"['S7', 'S11']"
0.41714285714285715,"['S7', 'S12']"
0.44571428571428573,"['S13', 'S7']"
0.3985714285714286,"['S14', 'S7']"
0.38,"['S7', 'S15']"
0.42,"['S17', 'S7']"
0.4342857142857143,"['S7', 'S18']"
0.4085714285714286,"['S7', 'S21']"
0.43857142857142856,"['S22', 'S7']"
0.37714285714285717,"['S23', 'S7']"
0.4057142857142857,"['S24', 'S7']"
0.42142857142857143,"['S25', 'S7']"
0.30428571428571427,"['S7', 'S26']"
0.4228571428571429,"['S28', 'S7']"
0.3842857142857143,"['S31', 'S7']"
0.3914285714285714,"['S7', 'S32']"
0.40714285714285714,"['S7', 'S33']"
0.3271428571428571,"['S34', 'S7']"
0.3557142857142857,"['S35', 'S7']"
0.39571428571428574,"['S36', 'S7']"
0.39285714285714285,"['S7', 'S37']"
0.39571428571428574,"['S7', 'S38']"
0.44285714285714284,"['S39', 'S7']"
0.39714285714285713,"['S7', 'S40']"
0.41,"['S7', 'S41']"
0.4185714285714286,"['S42', 'S7']"
0.41285714285714287,"['S7', 'S43']"
0.40285714285714286,"['S44', 'S7']"
0.3942857142857143,"['S45', 'S7']"
0.40714285714285714,"['S7', 'S46']"
0.4257142857142857,"['S47', 'S7']"
0.4157142857142857,"['S7', 'S48']"
0.42714285714285716,"['S7', 'S49']"
0.4185714285714286,"['S50', 'S7']"
0.3871428571428571,"['S7', 'S51']"
0.4157142857142857,"['S52', 'S7']"
0.3871428571428571,"['S53', 'S7']"
0.3985714285714286,"['S54', 'S7']"
